cleaned_text,label,username_encoded
therefore no one can ever speak about human rights who is perfect enough to start the conversation,r/chinapolitics,Z0FBQUFBQm0yeGJSeUVtYVVRWG5FVXRud2FvdU9tT1JtSE1qQklIdV9iRkNrSzZNbUs2cmx0QUlJUEtYOXE1b1Y3aXVVTjdQZ2VNNHVLTkx6WmFvUmNyR0JZNUxmWnBMR0E9PQ==
i spoke to  fm wang yi about russias unprovoked invasion of ukraine and made clear that russias actions are a flagrant breach of the un charter as a permanent member of the un security council we expect china to stand up for ukraines sovereignty and territorial integrity chinese president xi jinping tells russian president vladimir putin that china supports resolving the ukraine issue through negotiation xi says china maintains a consistent basic position on respecting the sovereignty and territorial integrity of all countries and abiding by the purposes and principles of the united nations charter according to a tweet by the staterun global times a report on the talks by chinas cctv says putin explained the historical background and the status of russias military operation stressing that the us and nato had ignored russias concerns the report says russia is willing to hold highlevel talks with ukraine according to the state broadcaster xi said china would decide its position based on the merits of the ukraine issue itself,r/chinapolitics,Z0FBQUFBQm0yeGJSdklhRGVpazQwSVRJUm5UVlVyaWI3LUlDRWkzX0lqVU91MjdWNjd1OEg2WWVqb1JWSUVyaVZVSVE0bjdIZDhWVGVTOVNmb1kxY01EQ1VQUTYwd1VNakE9PQ==
wow the first time i hear something good from that gov,r/chinapolitics,Z0FBQUFBQm0yeGJSc1dYRWlXa19yaXdvc3BVaG1GdEdtVWVqYk53Qnc2S21RNURMUVl1R0lTNGV0djZGQXk2ekkwdkJhdFVfZ2JESFJkS1dyTk5TRldiTWJRQVpxMktfXzIwVnc5OXYzb1doeHVWOVl1OXFVWEk9
why the fuck should russia be accommodated,r/chinapolitics,Z0FBQUFBQm0yeGJSV0xmd3N0MVY4T0tKWE9jN0lNRVZsUXo4MWk0ckhkRGliQkpiTnF5X0IzeTZ0OUh1clJKd1M3RE5NVi1rRFA3MnhLcFhnZ1pycmREZWRNSndzd1d1a1E9PQ==
it has been rumored that russia is going for moldova as well,r/chinapolitics,Z0FBQUFBQm0yeGJSR3pUZzA3VFNGVXM1M1FSR0JBWWM0a0lvRWJNVnVyVE1yRGhmRmlZUWNNSGk1XzFTUGgtS3g0NXJ5N0dGakI4THlfVG1WQlB0cUN2UVJ4N2dncDhLLVE9PQ==
to avoid world war <number>,r/chinapolitics,Z0FBQUFBQm0yeGJSc0RrNnU1dDByMnF6VXJ1U09rNi03UGNLNzkxV0VwV29qTllKSGtwQjdpZUdZT2w0c3hpRnRUUGk3ZTZ2RVR2M21zRDJRRWZrclpqajU4Y1RMR1VrS0E9PQ==
via belarusian troops,r/chinapolitics,Z0FBQUFBQm0yeGJSVEFqbEUydjAtQ0djOFRNSVphX0p6SHBkWUttMXdXdkxDVExub2RpdDRhbkY4UGd1akRzTWZRNTczT2RocFJrRVZiNFlMWGhIdFRPWWpaX1JncEdkY2c9PQ==
it didnt work in munich in why would it work now how many countries and lives will the world allow putin to destroy in the name of accommodation,r/chinapolitics,Z0FBQUFBQm0yeGJSd2VIWU1palF4QVJuNGV5TzZPLUxlbnM5d3h0Y2UxenhKTENhcW5iZGdjTDV3SWM5N0RYREFIX25LeTVWU2hsVnVyRnR3ZUFwM1Nfc1pyRDB0clFnM0E9PQ==
hitler didnt have nukes but putin dose,r/chinapolitics,Z0FBQUFBQm0yeGJSRk01U2tITDZ1X3VVemVkZ1NaclpnejdDbTBZQTRLWmZEUmwtck9oOTNYNVdlMHJPYkZiUHRsd1V5Z1VSYjlyd0ZKZ2IzSzF1TnZNamhDdGlYVjVtTjd6bDRuS3JENmtfUHZCdHM1VDVnemM9
this is the best tldr i could make original<url> reduced by <number> im a bot > the us should face up to and reflect on its own human rights problems give up politicizing human rights do something concrete to promote americans human rights and stop undermining human rights in other countries > cctv we noted that yesterday state councilor and foreign minister wang yi attended the highlevel segment of the th session of the united nations human rights council via video link and delivered an address > wang wenbin on february <number> state councilor and foreign minister wang yi attended the highlevel segment of the th session of the united nations human rights council via video link in beijing and delivered an address titled upholding equity and justice to promote sound development of the global human rightscause extended summary<url> | faq<url> version <number> ~<number> tldrs so far | feedback<url> pms and comments are monitored constructive feedback is welcome | top keywords right^<number> human^<number> ukraine^<number> china^<number> people^<number>,r/chinapolitics,Z0FBQUFBQm0yeGJSYWlDT09QbnZtVURlNUZOUUhhM0xDMWdBdVpmVlNjQ1dYdDRJcW1DbTZGVExVZFlkNk1DVnZZMnA0bWxfbHhubHdCNjZWSkphZEZDV2lIQVRWeW9Ea1E9PQ==
