text,label,username_encoded
Rest in peace 💔,r/levantinewar,Z0FBQUFBQm0yeGJSRWF2YW4wdUMxSmpjc3M0TGxjT2c1X3NFanN5UlB3b2pDMkJRMDd1WFRkaFoydHB3bzExNU9PRGNmYUF2c0taX0hIbUR6Wks0eVNuYWVEbUNlUWVhV2c9PQ==
That was simply beautiful. It brings tears to my eyes. If only main stream western media could portray people from MENA this way. The world would be a better place.,r/levantinewar,Z0FBQUFBQm0yeGJSQk1TWHhXTUtwRkx3MkhraFZ1YS0wXzBVVFV3V0JOb3dhREVqTGhuRGEyY1NnUTVYTV9sTXVXMnY3ZHRTNUhmN2NSdXlITmp3TjZxc1hJVS04TjExRUNUVDI2NVFtQ2MzQm1WVkpSeEFFSXM9
Alien takeover,r/levantinewar,Z0FBQUFBQm0yeGJSODJST3Z2eW5NQTg3SFFWemZNZ0FqdU1JSjZUNVBaUkU3aS1ZT21oVTBVWW85eG9mWWZrODBOWEloZmJ5U1M2bDNaSkxSNTBCRHFqWldwdDFZeDVjdEt4ZmI0ZjNNbG9Nc3hGT01nVy1zZ0E9
Nonpeople aliens,r/levantinewar,Z0FBQUFBQm0yeGJSZDFGWXMtajMzcVpCZG80OUZzQlBvNkZrTktReWE4ck9JdDRjRGY4WU5RV0pIWktlRWVTM25ZOWlHVEpZdWxMdUc5N01TS3hUWWZldm9fTjZHeHEwLTRKcDdBT01sbDFyck45QmZKRlhjUms9
happy cake day,r/levantinewar,Z0FBQUFBQm0yeGJSU0lyU2d6SGp5dkpHbjdVM25Ed3pxd1lWLXBHcjlCMVdlZUV4c3RkaUZURE9BM1ZJdG9xbTNDREZqMVAxaEpuc3JXeDVXX0NxYnVOYUN6cDYwbkFDbHc9PQ==
The fuck is that trash website?,r/levantinewar,Z0FBQUFBQm0yeGJSMl9HRFN6Yzh4Z3h5WXJydmQtMVh4eUlZTERVNjB5TGpFVTd3c2NrajdCZ0dOYWZrd21LajJzTWQ2eEhweU1ud2VRZTEtemxVNkFTWENVejFHeXhKeGc9PQ==
