source,target,weight
14,15,0.40345873177863034
20,44,0.4128685310389334
34,38,0.5021829397664388
54,77,0.4115755265632366
54,80,0.5363201591043602
82,93,0.8814183530332007
82,101,0.911462944839255
91,99,0.551756706581913
93,101,0.9240779218039128
103,106,0.408968541086846
104,106,0.4277028245867759
104,122,0.4060784798382281
132,139,0.43593769546698335
136,140,0.4524706003181733
